Time,%usr(CPU=all),%nice(CPU=all),%sys(CPU=all),%iowait(CPU=all),%steal(CPU=all),%irq(CPU=all),%soft(CPU=all),%guest(CPU=all),%idle(CPU=all),%usr(CPU=0),%nice(CPU=0),%sys(CPU=0),%iowait(CPU=0),%steal(CPU=0),%irq(CPU=0),%soft(CPU=0),%guest(CPU=0),%idle(CPU=0),%usr(CPU=1),%nice(CPU=1),%sys(CPU=1),%iowait(CPU=1),%steal(CPU=1),%irq(CPU=1),%soft(CPU=1),%guest(CPU=1),%idle(CPU=1),%usr(CPU=2),%nice(CPU=2),%sys(CPU=2),%iowait(CPU=2),%steal(CPU=2),%irq(CPU=2),%soft(CPU=2),%guest(CPU=2),%idle(CPU=2),%usr(CPU=3),%nice(CPU=3),%sys(CPU=3),%iowait(CPU=3),%steal(CPU=3),%irq(CPU=3),%soft(CPU=3),%guest(CPU=3),%idle(CPU=3),proc/s,cswch/s,pswpin/s,pswpout/s,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,tps,rtps,wtps,bread/s,bwrtn/s,frmpg/s,bufpg/s,campg/s,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,dentunusd,file-nr,inode-nr,pty-nr,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,rcvin/s(TTY=0),xmtin/s(TTY=0),framerr/s(TTY=0),prtyerr/s(TTY=0),brk/s(TTY=0),ovrun/s(TTY=0),tps(DEV=dev252-0),rd_sec/s(DEV=dev252-0),wr_sec/s(DEV=dev252-0),avgrq-sz(DEV=dev252-0),avgqu-sz(DEV=dev252-0),await(DEV=dev252-0),svctm(DEV=dev252-0),%util(DEV=dev252-0),rxpck/s(IFACE=lo),txpck/s(IFACE=lo),rxkB/s(IFACE=lo),txkB/s(IFACE=lo),rxcmp/s(IFACE=lo),txcmp/s(IFACE=lo),rxmcst/s(IFACE=lo),rxpck/s(IFACE=eth0),txpck/s(IFACE=eth0),rxkB/s(IFACE=eth0),txkB/s(IFACE=eth0),rxcmp/s(IFACE=eth0),txcmp/s(IFACE=eth0),rxmcst/s(IFACE=eth0),rxerr/s(IFACE=lo),txerr/s(IFACE=lo),coll/s(IFACE=lo),rxdrop/s(IFACE=lo),txdrop/s(IFACE=lo),txcarr/s(IFACE=lo),rxfram/s(IFACE=lo),rxfifo/s(IFACE=lo),txfifo/s(IFACE=lo),rxerr/s(IFACE=eth0),txerr/s(IFACE=eth0),coll/s(IFACE=eth0),rxdrop/s(IFACE=eth0),txdrop/s(IFACE=eth0),txcarr/s(IFACE=eth0),rxfram/s(IFACE=eth0),rxfifo/s(IFACE=eth0),txfifo/s(IFACE=eth0),call/s,retrans/s,read/s,write/s,access/s,getatt/s,scall/s,badcall/s,packet/s,udp/s,tcp/s,hit/s,miss/s,sread/s,swrite/s,saccess/s,sgetatt/s,totsck,tcpsck,udpsck,rawsck,ip-frag,tcp-tw,LINUX,RESTART,proc/s,cswch/s,pswpin/s,pswpout/s,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,tps,rtps,wtps,bread/s,bwrtn/s,frmpg/s,bufpg/s,campg/s,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,dentunusd,file-nr,inode-nr,pty-nr,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,call/s,retrans/s,read/s,write/s,access/s,getatt/s,scall/s,badcall/s,packet/s,udp/s,tcp/s,hit/s,miss/s,sread/s,swrite/s,saccess/s,sgetatt/s,totsck,tcpsck,udpsck,rawsck,ip-frag,tcp-tw
2016/12/14 00:10:01,0.18,0.00,0.17,0.00,0.02,0.00,0.00,0.00,99.62,0.18,0.00,0.16,0.00,0.02,0.00,0.00,0.00,99.63,0.26,0.01,0.23,0.00,0.02,0.00,0.00,0.00,99.48,0.12,0.00,0.14,0.00,0.01,0.00,0.00,0.00,99.73,0.15,0.00,0.17,0.01,0.02,0.00,0.00,0.00,99.65,1.23,396.98,0.00,0.00,0.00,4.25,568.30,0.00,318.31,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.51,-0.22,0.00,0.09,6730880,1328556,16.48,283220,822128,352048,2.14,8388600,0,0.00,0,0.00,48156,416,23680,82,2,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,8.51,13.63,0.00,0.45,0.34,0.02,2.08,2.08,0.44,0.44,0.00,0.00,0.00,5.95,1.64,0.45,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0,,,1.23,396.98,0.00,0.00,0.00,4.25,568.30,0.00,318.31,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.51,-0.22,0.00,0.09,6730880,1328556,16.48,283220,822128,352048,2.14,8388600,0,0.00,0,0.00,48156,416,23680,82,2,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0
2016/12/14 00:20:01,0.17,0.00,0.16,0.00,0.01,0.00,0.00,0.00,99.65,0.21,0.00,0.18,0.00,0.02,0.00,0.00,0.00,99.59,0.11,0.00,0.16,0.00,0.01,0.00,0.00,0.00,99.72,0.22,0.00,0.16,0.01,0.01,0.00,0.00,0.00,99.60,0.15,0.00,0.13,0.00,0.01,0.00,0.00,0.00,99.70,1.33,379.74,0.00,0.00,0.00,4.35,592.79,0.00,323.43,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.70,-0.32,0.00,0.09,6730112,1329324,16.49,283220,822340,352048,2.14,8388600,0,0.00,0,0.00,48158,448,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,8.70,14.02,0.00,0.45,0.37,0.02,2.13,2.13,0.45,0.45,0.00,0.00,0.00,4.04,1.76,0.32,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,2,,,1.33,379.74,0.00,0.00,0.00,4.35,592.79,0.00,323.43,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.70,-0.32,0.00,0.09,6730112,1329324,16.49,283220,822340,352048,2.14,8388600,0,0.00,0,0.00,48158,448,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,2
2016/12/14 00:30:01,0.17,0.00,0.16,0.00,0.02,0.00,0.00,0.00,99.65,0.17,0.00,0.16,0.00,0.02,0.00,0.00,0.00,99.65,0.23,0.00,0.20,0.00,0.02,0.00,0.00,0.00,99.55,0.20,0.00,0.17,0.01,0.02,0.00,0.00,0.00,99.61,0.10,0.01,0.11,0.00,0.01,0.00,0.00,0.00,99.78,1.17,396.20,0.00,0.00,0.00,4.11,540.56,0.00,304.02,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.00,8.22,-0.00,0.00,0.09,6730104,1329332,16.49,283220,822548,352048,2.14,8388600,0,0.00,0,0.00,48157,416,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,8.22,13.43,0.00,0.40,0.33,0.02,2.08,2.08,0.44,0.44,0.00,0.00,0.00,3.74,1.62,0.30,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0,,,1.17,396.20,0.00,0.00,0.00,4.11,540.56,0.00,304.02,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.00,8.22,-0.00,0.00,0.09,6730104,1329332,16.49,283220,822548,352048,2.14,8388600,0,0.00,0,0.00,48157,416,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0
2016/12/14 00:40:01,0.18,0.00,0.17,0.00,0.02,0.00,0.00,0.00,99.64,0.23,0.00,0.18,0.00,0.03,0.00,0.00,0.00,99.57,0.14,0.00,0.18,0.00,0.01,0.00,0.00,0.00,99.66,0.17,0.00,0.15,0.01,0.01,0.00,0.00,0.00,99.67,0.17,0.01,0.16,0.00,0.02,0.00,0.00,0.00,99.65,1.17,406.94,0.00,0.00,0.00,4.29,541.18,0.00,302.89,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.00,8.58,-0.31,0.00,0.09,6729360,1330076,16.50,283220,822756,352064,2.14,8388600,0,0.00,0,0.00,48151,416,23681,82,2,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,8.58,13.61,0.00,0.44,0.31,0.02,2.08,2.08,0.44,0.44,0.00,0.00,0.00,5.97,1.63,0.45,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0,,,1.17,406.94,0.00,0.00,0.00,4.29,541.18,0.00,302.89,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.00,8.58,-0.31,0.00,0.09,6729360,1330076,16.50,283220,822756,352064,2.14,8388600,0,0.00,0,0.00,48151,416,23681,82,2,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0
2016/12/14 00:50:01,0.17,0.00,0.16,0.00,0.02,0.00,0.00,0.00,99.64,0.15,0.01,0.15,0.00,0.01,0.00,0.00,0.00,99.68,0.17,0.01,0.20,0.00,0.02,0.00,0.00,0.00,99.61,0.16,0.00,0.14,0.01,0.02,0.00,0.00,0.00,99.68,0.21,0.00,0.17,0.00,0.02,0.00,0.00,0.00,99.60,1.33,388.01,0.00,0.00,0.00,4.32,594.91,0.00,334.62,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.64,0.16,0.00,0.09,6729740,1329696,16.50,283220,822964,352048,2.14,8388600,0,0.00,0,0.00,48157,416,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,8.64,14.03,0.00,0.38,0.30,0.02,2.13,2.13,0.45,0.45,0.00,0.00,0.00,3.86,1.79,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,2,,,1.33,388.01,0.00,0.00,0.00,4.32,594.91,0.00,334.62,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.64,0.16,0.00,0.09,6729740,1329696,16.50,283220,822964,352048,2.14,8388600,0,0.00,0,0.00,48157,416,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,2
2016/12/14 01:00:01,0.18,0.00,0.17,0.00,0.02,0.00,0.00,0.00,99.63,0.19,0.01,0.16,0.00,0.02,0.00,0.00,0.00,99.63,0.14,0.00,0.17,0.00,0.01,0.00,0.00,0.00,99.67,0.19,0.00,0.18,0.00,0.02,0.00,0.00,0.00,99.61,0.19,0.00,0.16,0.00,0.03,0.00,0.00,0.00,99.63,1.17,406.83,0.00,0.00,0.00,4.18,542.70,0.00,312.18,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.00,8.36,0.01,0.00,0.09,6729772,1329664,16.50,283220,823172,351332,2.14,8388600,0,0.00,0,0.00,48149,448,23671,82,3,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,8.36,13.67,0.00,0.44,0.35,0.02,2.08,2.08,0.44,0.44,0.00,0.00,0.00,3.89,1.62,0.31,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0,,,1.17,406.83,0.00,0.00,0.00,4.18,542.70,0.00,312.18,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.00,8.36,0.01,0.00,0.09,6729772,1329664,16.50,283220,823172,351332,2.14,8388600,0,0.00,0,0.00,48149,448,23671,82,3,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0
2016/12/14 01:10:01,0.17,0.00,0.17,0.00,0.01,0.00,0.00,0.00,99.64,0.21,0.00,0.19,0.00,0.02,0.00,0.00,0.00,99.57,0.16,0.00,0.19,0.00,0.01,0.00,0.00,0.00,99.65,0.17,0.01,0.15,0.00,0.02,0.00,0.00,0.00,99.65,0.16,0.00,0.14,0.00,0.01,0.00,0.00,0.00,99.69,1.22,386.59,0.00,0.00,0.00,4.21,562.72,0.00,319.05,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.43,-0.06,0.00,0.09,6729632,1329804,16.50,283220,823380,351920,2.14,8388600,0,0.00,0,0.00,48150,448,23673,82,2,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,8.43,13.55,0.00,0.65,0.36,0.02,2.08,2.08,0.44,0.44,0.00,0.00,0.00,5.80,1.63,0.43,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0,,,1.22,386.59,0.00,0.00,0.00,4.21,562.72,0.00,319.05,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.43,-0.06,0.00,0.09,6729632,1329804,16.50,283220,823380,351920,2.14,8388600,0,0.00,0,0.00,48150,448,23673,82,2,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0
2016/12/14 01:20:01,0.18,0.00,0.17,0.00,0.02,0.00,0.00,0.00,99.63,0.20,0.00,0.18,0.00,0.02,0.00,0.00,0.00,99.60,0.21,0.00,0.19,0.00,0.02,0.00,0.00,0.00,99.57,0.17,0.00,0.16,0.00,0.02,0.00,0.00,0.00,99.66,0.14,0.00,0.14,0.01,0.03,0.00,0.00,0.00,99.68,1.33,401.50,0.00,0.00,0.00,4.33,593.11,0.00,321.32,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.67,-0.16,0.00,0.09,6729252,1330184,16.50,283220,823588,352052,2.14,8388600,0,0.00,0,0.00,48157,448,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,8.67,13.94,0.00,0.52,0.40,0.02,2.13,2.13,0.45,0.45,0.00,0.00,0.00,3.94,1.79,0.32,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,2,,,1.33,401.50,0.00,0.00,0.00,4.33,593.11,0.00,321.32,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.00,8.67,-0.16,0.00,0.09,6729252,1330184,16.50,283220,823588,352052,2.14,8388600,0,0.00,0,0.00,48157,448,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,2
2016/12/14 01:30:01,0.17,0.00,0.17,0.00,0.02,0.00,0.00,0.00,99.64,0.18,0.00,0.17,0.00,0.02,0.00,0.00,0.00,99.62,0.15,0.00,0.19,0.00,0.01,0.00,0.00,0.00,99.64,0.21,0.01,0.16,0.00,0.02,0.00,0.00,0.00,99.62,0.15,0.00,0.14,0.01,0.01,0.00,0.00,0.00,99.68,1.17,415.73,0.00,0.00,0.00,4.15,545.06,0.00,321.20,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.00,8.30,-0.16,0.00,0.09,6728872,1330564,16.51,283220,823796,352048,2.14,8388600,0,0.00,0,0.00,48156,416,23680,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,8.30,13.61,0.00,0.59,0.34,0.02,2.08,2.08,0.44,0.44,0.00,0.00,0.00,4.03,1.64,0.32,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0,,,1.17,415.73,0.00,0.00,0.00,4.15,545.06,0.00,321.20,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.00,8.30,-0.16,0.00,0.09,6728872,1330564,16.51,283220,823796,352048,2.14,8388600,0,0.00,0,0.00,48156,416,23680,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0
2016/12/14 01:40:01,0.17,0.00,0.16,0.00,0.02,0.00,0.00,0.00,99.65,0.21,0.00,0.17,0.00,0.02,0.00,0.00,0.00,99.60,0.16,0.00,0.18,0.00,0.02,0.00,0.00,0.00,99.64,0.18,0.01,0.16,0.00,0.01,0.00,0.00,0.00,99.64,0.15,0.00,0.13,0.01,0.01,0.00,0.00,0.00,99.70,1.17,394.46,0.00,0.00,0.00,4.30,541.04,0.00,318.58,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.00,8.59,-0.15,0.00,0.09,6728516,1330920,16.51,283220,824008,352048,2.14,8388600,0,0.00,0,0.00,48158,416,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,8.59,13.70,0.00,0.43,0.34,0.02,2.08,2.08,0.44,0.44,0.00,0.00,0.00,6.01,1.63,0.45,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0,,,1.17,394.46,0.00,0.00,0.00,4.30,541.04,0.00,318.58,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.00,8.59,-0.15,0.00,0.09,6728516,1330920,16.51,283220,824008,352048,2.14,8388600,0,0.00,0,0.00,48158,416,23681,82,1,149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,6,7,0,0,0
